,user_id,amount_to_pay_next_payment,account_opening_date,account_closing_date,maximum_credit_amount,current_balance,credit_limit,past_due_balance,number_of_payments_due,worst_delinquency,worst_delinquency_date,worst_delinquency_past_due_balance,institution_cat,account_type_cat,credit_type_cat,payment_frequency_cat
0,0,0.0,2014-11-10,2015-12-05,9826.0,0.0,0.0,0.0,0.0,0.0,,0.0,33,4,14,7
1,0,0.0,2015-12-05,2016-10-14,16000.0,0.0,0.0,0.0,3.0,1.0,2016-05-28,200.0,33,4,19,7
2,0,100.0,2016-09-02,,10205.0,3505.0,0.0,0.0,3.0,1.0,2017-03-03,100.0,33,4,14,7
3,0,191.0,2016-10-14,,22920.0,11269.0,0.0,0.0,3.0,1.0,2017-03-03,191.0,33,4,19,7
4,0,0.0,2016-12-27,2017-06-27,150000.0,0.0,0.0,0.0,0.0,0.0,,0.0,30,4,19,6
5,0,10825.0,2017-06-28,,225000.0,159142.0,0.0,0.0,0.0,0.0,,0.0,30,4,19,6
6,0,0.0,2016-10-06,2017-09-15,0.0,0.0,999.0,0.0,7.0,4.0,2017-05-31,4342.0,47,6,14,4
7,0,0.0,2014-11-10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,33,7,7,7
8,0,5874.0,2017-08-22,,513069.0,475245.0,513069.0,0.0,0.0,0.0,,0.0,4,4,5,4
9,0,10557.0,2017-01-31,,247705.0,124316.0,247705.0,0.0,0.0,0.0,,0.0,4,4,5,4
10,0,1642.0,2017-04-24,,46307.0,40050.0,43500.0,0.0,0.0,0.0,,0.0,5,6,25,4
11,0,3069.0,2017-11-08,,57959.0,57959.0,0.0,0.0,0.0,0.0,,0.0,21,4,5,4
12,0,304.0,2016-10-24,,10000.0,6784.0,10000.0,0.0,0.0,0.0,,0.0,5,6,25,4
13,0,0.0,2016-09-02,,3068.0,0.0,0.0,0.0,0.0,0.0,,0.0,16,7,14,4
14,0,1369.0,2016-09-25,,6997.0,4206.0,10000.0,0.0,0.0,0.0,,0.0,49,6,14,4
